,datetime,tx_lat,tx_lon,tx_loc,date,time,altitude_m,altitude_ft,type
3937,2022-01-08 00:58:00,10.063,166.542,RK30gb,2022-01-08,00:58:00,6900,22632,8
3938,2022-01-08 01:00:00,10.146,166.375,RK30ed,2022-01-08,01:00:00,1060,3476,0
3939,2022-01-08 01:18:00,10.146,166.375,RK30ed,2022-01-08,01:18:00,6900,22632,8
3942,2022-01-08 01:40:00,10.271,166.292,RK30dg,2022-01-08,01:40:00,1060,3476,0
3945,2022-01-08 02:00:00,10.313,166.292,RK30dh,2022-01-08,02:00:00,1060,3476,0
3946,2022-01-08 02:20:00,10.313,166.292,RK30dh,2022-01-08,02:20:00,1060,3476,0
3947,2022-01-08 02:38:00,10.313,166.292,RK30dh,2022-01-08,02:38:00,6900,22632,8
3948,2022-01-08 02:40:00,10.354,166.208,RK30ci,2022-01-08,02:40:00,1060,3476,0
3949,2022-01-08 03:18:00,10.354,166.208,RK30ci,2022-01-08,03:18:00,6900,22632,8
3968,2022-01-08 04:58:00,10.521,166.125,RK30bm,2022-01-08,04:58:00,6900,22632,8
3987,2022-01-08 22:28:00,11.979,165.792,RK21vx,2022-01-08,22:28:00,6900,22632,8
3995,2022-01-08 23:10:00,11.979,165.792,RK21vx,2022-01-08,23:10:00,1140,3739,0
3996,2022-01-08 23:28:00,11.979,165.792,RK21vx,2022-01-08,23:28:00,6900,22632,8
3997,2022-01-09 00:28:00,11.979,165.792,RK21vx,2022-01-09,00:28:00,6900,22632,8
4002,2022-01-09 01:10:00,11.938,165.958,RK21xw,2022-01-09,01:10:00,1140,3739,0
4003,2022-01-09 01:48:00,11.938,165.958,RK21xw,2022-01-09,01:48:00,6900,22632,8
4004,2022-01-09 02:08:00,11.479,166.958,RK31,2022-01-09,02:08:00,6900,22632,8
4005,2022-01-09 02:10:00,11.854,166.042,RK31au,2022-01-09,02:10:00,1140,3739,0
4006,2022-01-09 02:28:00,11.854,166.042,RK31au,2022-01-09,02:28:00,6900,22632,8
4007,2022-01-09 02:48:00,11.854,166.042,RK31au,2022-01-09,02:48:00,6900,22632,8
4008,2022-01-09 02:50:00,11.813,166.125,RK31bt,2022-01-09,02:50:00,1060,3476,0
4009,2022-01-09 03:08:00,11.813,166.125,RK31bt,2022-01-09,03:08:00,6900,22632,8
4010,2022-01-09 04:28:00,11.813,166.125,RK31bt,2022-01-09,04:28:00,6900,22632,8
4032,2022-01-09 21:10:00,9.354,165.542,RJ29si,2022-01-09,21:10:00,1140,3739,0
4033,2022-01-09 21:28:00,9.354,165.542,RJ29si,2022-01-09,21:28:00,6900,22632,8
4034,2022-01-09 21:48:00,9.354,165.542,RJ29si,2022-01-09,21:48:00,6900,22632,8
4035,2022-01-09 22:08:00,9.354,165.542,RJ29si,2022-01-09,22:08:00,6900,22632,8
4036,2022-01-09 22:28:00,9.354,165.542,RJ29si,2022-01-09,22:28:00,6900,22632,8
4037,2022-01-09 22:48:00,9.354,165.542,RJ29si,2022-01-09,22:48:00,6900,22632,8
4042,2022-01-09 23:50:00,8.938,165.208,RJ28ow,2022-01-09,23:50:00,1140,3739,0
4043,2022-01-10 00:08:00,8.938,165.208,RJ28ow,2022-01-10,00:08:00,6900,22632,8
4044,2022-01-10 00:10:00,8.854,165.125,RJ28nu,2022-01-10,00:10:00,1140,3739,0
4045,2022-01-10 00:28:00,8.854,165.125,RJ28nu,2022-01-10,00:28:00,6900,22632,8
4046,2022-01-10 00:48:00,8.854,165.125,RJ28nu,2022-01-10,00:48:00,6900,22632,8
4047,2022-01-10 00:50:00,8.729,165.042,RJ28mr,2022-01-10,00:50:00,1140,3739,0
4048,2022-01-10 01:28:00,8.729,165.042,RJ28mr,2022-01-10,01:28:00,6900,22632,8
4049,2022-01-10 01:48:00,8.729,165.042,RJ28mr,2022-01-10,01:48:00,6900,22632,8
4050,2022-01-10 01:50:00,8.604,164.875,RJ28ko,2022-01-10,01:50:00,1060,3476,0
4051,2022-01-10 02:10:00,8.563,164.792,RJ28jn,2022-01-10,02:10:00,1060,3476,0
4052,2022-01-10 02:30:00,8.563,164.708,RJ28in,2022-01-10,02:30:00,1060,3476,0
4053,2022-01-10 02:48:00,8.563,164.708,RJ28in,2022-01-10,02:48:00,6900,22632,8
4054,2022-01-10 02:50:00,8.563,164.625,RJ28hn,2022-01-10,02:50:00,1060,3476,0
4055,2022-01-10 03:08:00,8.563,164.625,RJ28hn,2022-01-10,03:08:00,6900,22632,8
